endTime,artistName,trackName,msPlayed
2018-08-25 03:32,Galaxie 500,Strange,9195
2018-08-27 00:15,Mulatu Astatke,Tezeta,368539
2018-08-27 00:19,Richard Swift,Lady Luck,258800
2018-08-27 00:21,Bert Jansch,Running from Home - 2015 Remaster,140273
2018-08-27 00:25,Kendrick Lamar,LOVE. FEAT. ZACARI.,1068
2018-08-27 00:25,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),2879
2018-08-27 00:25,Bones & Beeker,Heartbroken in Love,191053
2018-08-27 00:25,Big Thief,Mythological Beauty,34824
2018-08-27 00:31,Charlotte Gainsbourg,Deadly Valentine,364986
2018-08-27 00:35,Ibeyi,Deathless,191426
2018-08-27 00:35,LCD Soundsystem,how do you sleep?,1439
2018-08-27 00:35,Jorja Smith,On My Mind (Jorja Smith X Preditah),32791
2018-08-27 00:40,Frank Ocean,Biking,277520
2018-08-27 00:42,Sampha,(No One Knows Me) Like the Piano,1671
2018-08-27 00:42,Lana Del Rey,Love,1578
2018-08-27 00:42,Kelela,LMK,1718
2018-08-27 00:42,Kamasi Washington,Truth,141819
2018-08-27 00:46,Arca,Desafío,223538
2018-08-27 03:49,Kelela,LMK,3008
2018-08-27 03:49,Future,Mask Off,20458
2018-08-27 03:49,Mulatu Astatke,Tezeta,35968
2018-08-27 03:49,Calvin Harris,Slide (feat. Frank Ocean & Migos),10218
2018-08-27 03:50,Max B,Give Dem Hoes Up,11093
2018-08-27 03:50,Yussef Kamaal,Strings of Light,1962
2018-08-27 03:50,Stereolab,Brakhage,7914
2018-08-27 03:50,O.V. Wright,Let's Straighten It Out,6207
2018-08-27 03:50,Foxygen,Cosmic Vibrations,7210
2018-08-27 03:50,Talaboman,Safe Changes,10560
2018-08-27 03:50,Unloved,Guilty of Love,7360
2018-08-27 03:51,Kendrick Lamar,Poe Mans Dreams (His Vice),725
2018-08-27 03:51,Cities Aviv,Melanin Drop,4650
2018-08-27 03:51,Volta Jazz,Djougou Toro,4714
2018-08-27 03:51,Preoccupations,Anxiety,4330
2018-08-27 03:51,Kendrick Lamar,untitled 07 | 2014 - 2016,874
2018-08-27 03:51,Pastor T.L. Barrett and the Youth for Christ Choir,Nobody Knows,15104
2018-08-27 03:51,Pastor T.L. Barrett and the Youth for Christ Choir,Nobody Knows,18048
2018-08-27 03:51,WITCH,Introduction,4501
2018-08-27 03:52,Willie Mitchell,Groovin',15317
2018-08-27 03:52,Helene Smith,I Am Controlled By Your Love,6848
2018-08-27 03:52,SOB X RBE,Lifestyle,234
2018-08-27 03:52,Goat,Trouble in the Streets,12224
2018-08-27 03:52,Parallel Dance Ensemble,Juices,7871
