artistName,trackName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,release_date,genres
The Daily,Joe Biden’s Big Win,,,,,,,,,,,,,,,,,,,,
Jehnny Beth,Flower,0.741,0.486,8.0,-6.969,1.0,0.0699,0.0208,0.0028,0.105,0.34,119.047,audio_features,1VIEQ04jOrM1pd5r3aogIw,spotify:track:1VIEQ04jOrM1pd5r3aogIw,https://api.spotify.com/v1/tracks/1VIEQ04jOrM1pd5r3aogIw,https://api.spotify.com/v1/audio-analysis/1VIEQ04jOrM1pd5r3aogIw,199902.0,4.0,2020-06-12,"['art pop', 'chamber psych']"
Yo La Tengo,The Ballad of Red Buckets,0.541,0.449,0.0,-9.775,1.0,0.0308,0.573,0.539,0.0903,0.461,82.761,audio_features,2P2ikcHf5nxhs08eUghmsn,spotify:track:2P2ikcHf5nxhs08eUghmsn,https://api.spotify.com/v1/tracks/2P2ikcHf5nxhs08eUghmsn,https://api.spotify.com/v1/audio-analysis/2P2ikcHf5nxhs08eUghmsn,289467.0,4.0,2015-08-28,"['alternative rock', 'anti-folk', 'art pop', 'dream pop', 'freak folk', 'indie pop', 'indie rock', 'lo-fi', 'new jersey indie', 'permanent wave', 'slowcore']"
The Impressions,Fool for You,0.451,0.654,3.0,-7.693,0.0,0.0477,0.0561,0.0,0.505,0.523,81.187,audio_features,7ppPgpUdNPbHhuqYwN2SXu,spotify:track:7ppPgpUdNPbHhuqYwN2SXu,https://api.spotify.com/v1/tracks/7ppPgpUdNPbHhuqYwN2SXu,https://api.spotify.com/v1/audio-analysis/7ppPgpUdNPbHhuqYwN2SXu,172813.0,4.0,1968,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'soul']"
Amanaz,Khala My Friend,0.588,0.407,1.0,-14.169,1.0,0.0362,0.0212,0.427,0.12,0.362,87.565,audio_features,5xevas4P14kVmD4St0X3yy,spotify:track:5xevas4P14kVmD4St0X3yy,https://api.spotify.com/v1/tracks/5xevas4P14kVmD4St0X3yy,https://api.spotify.com/v1/audio-analysis/5xevas4P14kVmD4St0X3yy,203716.0,4.0,1975,"['acid rock', 'african rock']"
DRAIN,California Cursed,0.36,0.958,8.0,-3.983,0.0,0.207,0.000474,0.119,0.0836,0.225,134.467,audio_features,6kG5FMWetInYsdo5EI8x8x,spotify:track:6kG5FMWetInYsdo5EI8x8x,https://api.spotify.com/v1/tracks/6kG5FMWetInYsdo5EI8x8x,https://api.spotify.com/v1/audio-analysis/6kG5FMWetInYsdo5EI8x8x,156966.0,4.0,2020-04-10,['metallic hardcore']
Junior Kimbrough,Meet Me in the City,0.566,0.64,2.0,-7.88,1.0,0.0249,0.903,0.474,0.134,0.332,133.53,audio_features,5LmmZgxFg1sSfxENxsdtak,spotify:track:5LmmZgxFg1sSfxENxsdtak,https://api.spotify.com/v1/tracks/5LmmZgxFg1sSfxENxsdtak,https://api.spotify.com/v1/audio-analysis/5LmmZgxFg1sSfxENxsdtak,151360.0,4.0,2009,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'punk blues', 'traditional blues']"
The Velvet Underground,I'm Waiting For The Man,,,,,,,,,,,,,,,,,,,,
The 5th Dimension,Aquarius/Let The Sunshine In (The Flesh Failures) [Remastered],0.293,0.74,7.0,-6.098,1.0,0.0399,0.446,0.00151,0.0998,0.516,118.23,audio_features,0HZlND4giwzgolBpaNIRGV,spotify:track:0HZlND4giwzgolBpaNIRGV,https://api.spotify.com/v1/tracks/0HZlND4giwzgolBpaNIRGV,https://api.spotify.com/v1/audio-analysis/0HZlND4giwzgolBpaNIRGV,289293.0,4.0,2000-03-23,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock', 'mellow gold', 'motown', 'soft rock', 'sunshine pop']"
Kikagaku Moyo,Dripping Sun,0.536,0.441,5.0,-7.244,0.0,0.0356,0.181,0.564,0.113,0.335,105.556,audio_features,0KixIFbJPLjVUgCiTgR649,spotify:track:0KixIFbJPLjVUgCiTgR649,https://api.spotify.com/v1/tracks/0KixIFbJPLjVUgCiTgR649,https://api.spotify.com/v1/audio-analysis/0KixIFbJPLjVUgCiTgR649,470092.0,4.0,2018-10-05,"['instrumental stoner rock', 'japanese psychedelic', 'japanese psychedelic rock', 'neo-psychedelic']"
